family,implementation,source_file,rendered_surface,scientific_boundary,evidence,coverage_status
force-time,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
dual-plate,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
event-zoom,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
velocity-time,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
displacement-time,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
impulse-area,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
trial-comparison,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
session-matrix,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
longitudinal,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
rolling-baseline,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
uncertainty-band,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
distribution,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
cohort-comparison,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
quality-trace,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/11-trial-qa.png,MAPPED
provenance-graph,MefProvenanceStrip / governed graph pattern,apps/practitioner-web/src/components/mef-patterns.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
session-timeline,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
data-quality,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
mapping-preview,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
annotation-grammar,MefPlotFrame,apps/practitioner-web/src/components/mef-plots.tsx,Grammar-only SVG axes/grid with unavailable or planned copy; no data trace/measurement,"PASS — fixture-only, scientific authority none, no numeric result emitted",screens/02-command-center.png,MAPPED
